Fecha,Precio_PT,precio_FR,precio_ES
2016-01-01,26.595,22.634583333333335,26.308333333333334
2016-01-02,30.09958333333333,21.922916666666666,29.030833333333337
2016-01-03,21.298750000000002,17.063333333333333,17.601666666666667
2016-01-04,30.398750000000007,26.979583333333327,29.4675
2016-01-05,30.437500000000004,32.502500000000005,30.437500000000004
2016-01-06,15.128750000000002,33.724583333333335,15.128750000000002
2016-01-07,26.770416666666666,33.37583333333333,27.25208333333333
2016-01-08,30.954583333333336,30.273750000000003,32.252500000000005
2016-01-09,24.020416666666673,28.34,27.20375
2016-01-10,10.594583333333333,19.836250000000003,10.942916666666667
2016-01-11,23.479166666666668,31.40375,24.556250000000002
2016-01-12,34.12999999999999,30.394999999999996,34.12999999999999
2016-01-13,38.86708333333333,34.89458333333334,39.07625
2016-01-14,34.59833333333333,37.82375,35.440416666666664
2016-01-15,36.83625,37.65708333333333,37.562916666666666
2016-01-16,33.08416666666667,33.55458333333333,33.46208333333333
2016-01-17,35.553333333333335,34.30166666666667,35.64291666666667
2016-01-18,40.44291666666666,45.713750000000005,40.44291666666666
2016-01-19,48.695,52.385,50.14125000000001
2016-01-20,51.12499999999999,57.132499999999986,51.12499999999999
2016-01-21,49.25291666666666,57.52166666666667,49.25291666666666
2016-01-22,45.38999999999999,41.36875,45.38999999999999
2016-01-23,40.766666666666666,31.73541666666667,40.766666666666666
2016-01-24,32.93708333333334,29.798333333333343,32.93708333333334
2016-01-25,43.83791666666667,30.862083333333334,43.71958333333333
2016-01-26,47.30999999999998,29.859166666666667,47.30999999999998
2016-01-27,41.85583333333333,26.236666666666668,41.85583333333333
2016-01-28,45.59583333333334,28.956666666666663,45.59583333333334
2016-01-29,43.544166666666676,28.07875,43.544166666666676
2016-01-30,36.68,18.0675,36.68
2016-01-31,31.01041666666667,15.794166666666667,31.01041666666667
2016-02-01,44.11708333333332,22.882500000000004,42.305833333333325
2016-02-02,41.15875,22.319999999999997,41.15875
2016-02-03,32.03666666666667,23.435833333333335,32.135
2016-02-04,31.823333333333327,25.51208333333334,32.56375
2016-02-05,36.149166666666666,27.708750000000006,36.149166666666666
2016-02-06,26.965416666666666,16.350416666666664,26.965416666666666
2016-02-07,15.101666666666668,12.83875,15.101666666666668
2016-02-08,28.645416666666666,18.782083333333333,28.645416666666666
2016-02-09,21.943750000000005,23.238333333333333,22.770416666666666
2016-02-10,27.1725,26.497083333333332,26.359583333333333
2016-02-11,30.611666666666668,30.877916666666668,31.097083333333334
2016-02-12,23.37041666666667,27.531250000000004,23.397500000000004
2016-02-13,8.71625,22.497083333333332,8.71625
2016-02-14,5.25,15.338333333333331,5.970833333333334
2016-02-15,17.50583333333333,25.03083333333333,17.761666666666667
2016-02-16,29.97541666666667,33.49083333333333,30.536666666666672
2016-02-17,36.052916666666675,37.98291666666667,36.45916666666667
2016-02-18,33.9375,35.62291666666667,35.27583333333333
2016-02-19,35.56875,32.1625,36.29125000000001
2016-02-20,31.775000000000006,18.50583333333333,31.87041666666667
2016-02-21,22.105833333333337,11.945,22.105833333333337
2016-02-22,37.78375,20.986666666666668,37.78375
2016-02-23,31.539166666666663,29.02208333333333,31.539166666666663
2016-02-24,29.16625,28.389166666666664,29.16625
2016-02-25,25.792083333333338,28.4325,25.792083333333338
2016-02-26,24.276666666666667,27.046666666666667,24.833333333333332
2016-02-27,5.567083333333334,22.27625,5.567083333333334
2016-02-28,6.259583333333333,17.511666666666667,6.259583333333333
2016-02-29,20.066666666666663,26.419583333333335,20.066666666666663
2016-03-01,28.501250000000002,30.295833333333334,28.501250000000002
2016-03-02,22.042083333333334,25.266250000000003,22.042083333333334
2016-03-03,24.383750000000003,28.03916666666666,24.396666666666665
2016-03-04,19.329166666666666,28.743749999999995,19.329166666666666
2016-03-05,9.775833333333333,23.07166666666667,10.165833333333333
2016-03-06,12.472916666666665,20.48041666666667,12.714583333333332
2016-03-07,21.293333333333333,31.906666666666663,24.288749999999997
2016-03-08,28.767500000000002,31.061666666666664,28.806666666666672
2016-03-09,20.541666666666664,26.66541666666666,20.735
2016-03-10,19.3825,30.189583333333335,19.3825
2016-03-11,29.02,28.28708333333334,29.471666666666664
2016-03-12,26.97458333333334,26.56458333333333,26.97458333333334
2016-03-13,23.156250000000004,21.627916666666664,22.944583333333338
2016-03-14,34.893333333333324,26.65291666666667,34.97833333333333
2016-03-15,40.01291666666666,28.651666666666667,40.01291666666666
2016-03-16,33.97541666666667,27.521666666666675,33.75666666666667
2016-03-17,39.739583333333336,28.342083333333335,39.739583333333336
2016-03-18,41.87791666666667,30.08,41.99666666666668
2016-03-19,35.91833333333333,26.056250000000002,35.91833333333333
2016-03-20,33.18,19.756666666666664,33.18
2016-03-21,34.52333333333333,30.897500000000004,34.63
2016-03-22,33.005,31.79958333333333,33.3275
2016-03-23,28.63875,28.9225,28.857083333333335
2016-03-24,27.117499999999996,27.65291666666667,27.117499999999996
2016-03-25,25.361250000000002,25.295,25.361250000000002
2016-03-26,19.47041666666666,19.037499999999998,19.419583333333332
2016-03-27,14.31173913043478,11.41130434782609,13.253043478260869
2016-03-28,14.8725,8.986666666666666,13.299166666666665
2016-03-29,28.473749999999995,25.52541666666666,29.041666666666668
2016-03-30,29.341666666666665,28.488333333333333,29.635833333333334
2016-03-31,21.74666666666667,27.146250000000006,22.136666666666667
2016-04-01,30.911666666666665,29.969999999999995,31.093333333333334
2016-04-02,26.260416666666668,25.707916666666666,26.260416666666668
2016-04-03,13.065416666666666,15.28333333333333,13.065416666666666
