Fecha,Hidráulica,Eólica,Solar fotovoltaica,Solar térmica,Hidroeólica,Otras renovables,Residuos renovables,Generación renovable,Turbinación bombeo,Nuclear,Ciclo combinado,Carbón,Motores diésel,Turbina de gas,Turbina de vapor,Fuel + Gas,Cogeneración,Residuos no renovables,Generación no renovable,Consumos en bombeo,Importación Francia,Importación Portugal,Importación Marruecos,Importación Andorra,Exportación Francia,Exportación Portugal,Exportación Marruecos,Exportación Andorra,Saldo I. internacionales,Demanda
2018-04-08,138.24562,162.511577,20.051966,5.326765999999999,0.10003100000000001,7.480994,2.612625,336.329579,12.226959,139.753142,41.023897,34.975816,7.028674,2.511453,4.935821,0.0,74.727646,5.745997999999999,322.92940600000003,-54.746522,31.646014,18.435517,0.3743,0.0,-3.509919,-19.003633999999998,-4.5856,-0.58709,22.769588,627.282051
2018-04-09,165.231721,144.71417000000002,19.431969000000002,6.737244,0.105833,6.786854999999999,2.6194935,345.6272854999999,14.491159,120.67847599999999,60.063255,53.452526,6.9427460000000005,3.34185,5.991542000000001,0.0,81.817243,5.824190499999999,352.6029875000001,-6.5445,33.966206,32.763523,0.2355,0.0,-1.96393,-4.126688,-7.762,-0.51355,52.599061,744.284834
2018-04-10,173.734178,210.806434,10.624087,1.0403900000000001,0.10584,6.56833,2.632961,405.51222000000007,14.934723,120.837469,54.344145,57.454602,7.763175,3.3406190000000002,6.441178,0.0,80.70192,5.792007,351.60983799999997,-17.441854,31.495060000000002,36.067195,0.3336,0.0,-4.816751,-8.839469,-5.268800000000001,-0.80924,48.161595,787.841799
2018-04-11,168.34041399999998,277.39469199999996,18.818814,9.40485,0.10660299999999999,7.154202000000001,2.58791,483.80748499999993,13.544049000000001,120.906013,46.439694,51.29259,8.450739,2.626321,7.090655,0.0,78.620351,5.578466000000001,334.548878,-19.161419000000002,11.653486000000001,23.555537,0.0002,0.0,-18.355067,-9.771370999999998,-12.8932,-0.8344199999999999,-6.644835,792.550109
2018-04-12,191.598177,156.264249,15.329083,1.905626,0.08335,7.591283000000001,2.4389445,375.2107124999999,16.604995,120.708108,78.526477,67.422124,8.674151,2.6948380000000003,7.409056,0.0,80.190043,5.3446265,387.57441850000004,-16.905294,25.464576,35.198339999999995,0.0421,0.0,-8.666941000000001,-5.977791,-8.1018,-0.8989400000000001,37.059544,782.939381
2018-04-13,196.75149900000002,55.886838000000004,20.1015,4.619625,0.069652,7.671404000000001,2.5028645000000003,287.6033825,7.490649,120.732389,100.82322599999999,86.564894,7.890798,2.858999,8.100461000000001,0.0,83.269856,5.8029044999999995,423.5341765,-6.3389,48.262989999999995,37.71097,0.279,0.0,-2.8259499999999997,-4.743244,-4.7873,-0.86523,73.031236,777.829895
2018-04-14,166.21210200000002,57.131417,26.804754,16.962183,0.080403,7.4314480000000005,2.5410915,277.1633985,2.7108090000000002,120.73853100000001,44.747716,63.73381,7.506959,2.7292170000000002,6.790769,0.0,79.38998699999999,5.8598075,334.20760549999994,-19.289583999999998,73.440908,36.045565,0.24919999999999998,0.0,-3.10531,-7.475227,-5.7308,-0.99599,92.428346,684.5097659999999
2018-04-15,150.673638,138.041245,20.351572,4.223929,0.07859999999999999,7.133504,2.6213420000000003,323.12383,9.11036,120.72627800000001,39.711457,44.911279,7.210908000000001,2.192393,5.799968,0.0,75.151654,5.7328,310.547097,-44.483364,54.166374000000005,18.455909,0.5572999999999999,0.0,-1.059782,-27.363673,-3.434,-1.02596,40.296167999999994,629.483731
2018-04-16,162.743282,173.51767800000002,26.367371,15.199761,0.076303,7.277095999999999,2.6424675000000004,387.82395850000006,13.247671,120.891278,54.595232,64.635384,7.848727,2.6706410000000003,7.463712,0.0,81.41712600000001,5.8666015,358.63637249999994,-15.205965,21.35413,25.092655,0.0264,0.0,-11.350296,-16.716758000000002,-9.694600000000001,-0.6478700000000001,8.063661,739.318027
2018-04-17,164.8467,85.34111800000001,32.770641000000005,24.210566,0.063259,7.433978,2.638446,317.30470800000006,11.61914,120.99066,75.445998,76.353991,7.786479,3.019662,7.363095,0.0,81.67502,5.885604,390.13964899999996,-3.287524,43.630413999999995,26.771839,0.0,0.0005600000000000001,-1.03346,-16.85871,-16.6992,-0.46051,35.350933,739.507766
